Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmAndBiasTunableOp_float_TN,tn_360_276_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0180038
GemmAndBiasTunableOp_float_TN,tn_192_300_256_ld_256_256_192,Gemm_Hipblaslt_6377,0.0194225
GemmAndBiasTunableOp_float_TN,tn_240_426_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0172
GemmAndBiasTunableOp_float_TN,tn_512_1_512_ld_512_512_512,Gemm_Hipblaslt_6378,0.0183084
GemmAndBiasTunableOp_float_TN,tn_256_400_256_ld_256_256_256,Gemm_Hipblaslt_6377,0.0279269
GemmAndBiasTunableOp_float_TN,tn_1024_266_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.133914
GemmAndBiasTunableOp_float_TN,tn_1024_96_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.050533
GemmAndBiasTunableOp_float_TN,tn_360_432_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0227312
GemmAndBiasTunableOp_float_TN,tn_120_702_240_ld_240_240_120,Gemm_Hipblaslt_6379,0.0310439
GemmAndBiasTunableOp_float_TN,tn_120_745_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0162225
GemmAndBiasTunableOp_float_TN,tn_1024_54_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0369262
GemmAndBiasTunableOp_float_TN,tn_1024_219_512_ld_512_512_1024,Gemm_Hipblaslt_6379,0.242741
GemmAndBiasTunableOp_float_TN,tn_120_354_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0169303
GemmAndBiasTunableOp_float_TN,tn_4_1_256_ld_256_256_4,Gemm_Hipblaslt_6378,0.0128446
GemmAndBiasTunableOp_float_TN,tn_120_1050_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0341395
GemmAndBiasTunableOp_float_TN,tn_1024_94_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0505478
GemmAndBiasTunableOp_float_TN,tn_120_462_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0126657
GemmAndBiasTunableOp_float_TN,tn_120_1074_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0350703
GemmAndBiasTunableOp_float_TN,tn_120_420_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0125364
GemmAndBiasTunableOp_float_TN,tn_2_5_200_ld_200_200_2,Gemm_Hipblaslt_6378,0.011779
GemmAndBiasTunableOp_float_TN,tn_1024_150_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0810148
GemmAndBiasTunableOp_float_TN,tn_240_591_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0235247
GemmAndBiasTunableOp_float_TN,tn_240_756_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0251072
GemmAndBiasTunableOp_float_TN,tn_360_1374_120_ld_120_120_360,Gemm_Hipblaslt_6379,0.0720342
GemmAndBiasTunableOp_float_TN,tn_240_258_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0131644
GemmAndBiasTunableOp_float_TN,tn_1024_107_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.057648
GemmAndBiasTunableOp_float_TN,tn_120_810_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0280306
GemmAndBiasTunableOp_float_TN,tn_360_756_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0364778
GemmAndBiasTunableOp_float_TN,tn_120_276_240_ld_240_240_120,Gemm_Hipblaslt_6379,0.0192614
GemmAndBiasTunableOp_float_TN,tn_360_216_120_ld_120_120_360,Gemm_Hipblaslt_6376,0.0226919
GemmAndBiasTunableOp_float_TN,tn_360_576_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0281037
GemmAndBiasTunableOp_float_TN,tn_240_492_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0188066
